"Company Sellerid","Business Name","Contact Person","Mobile Number","Contact Number","Email","Location","Address Line 1","Pin Code","GST Details","Partner Since","Seller Type","Seller category","Status","FSSAI","Ratings","","","","","","","","","",""
"2110285","R C Sales","Sandip Agrawal","8308062099","8208668192","sandip.agrawal@adaniwilmar.in","Ahmedabad","Shop No 123,Gandhi Ashram Sabarmati, Ahmedabad Gujarat","382120","CTIN5678OIU999","2020","B2CG","food","1","12345678910102","4.5","","","","","","","","","",""
"2110286","Om Traders","Vikash ","9537677783","9825775461","viikash.patel@omtraders.in","Ahmedabad","Building 23, Ellis Bridge, Ahmedabad, Gujarat","382220","CTINRD8810004","2008","B2CG","oil","1","12345678910103","3.6","","","","","","","","","",""
"2110287","Sunil Enterprise","Rajvi Desai","9594837445","9825775451","Rajvi.desai@sunilenterprise.in","Ahmedabad","Shop No. 56, Motera stadium Road, Ahmedabad Gujarat","382460","CTINRD8810691","2010","B2CH","food","1","12345678910104","3","","","","","","","","","",""
"2110288","ABC Sales","Sagar Gupta","6359649574","9825775471","Sagar@abcsales.in","Ahmedabad","23/C, 2 Floor, Navrangpura,  Ahmedabad Gujarat","380001","CTINRD8810707","1998","B2CG","hpc","1","12345678910105","5","","","","","","","","","",""
"2110289","xyz Traders","Yuvraj Shah","7878712344","9374727341","yuvraj@xyztraders.in","Ahmedabad","Shop No 678,Chandkheda, Ahmedabad Gujarat","382250","CTINRD8810967","1990","B2CG","oil","0","12345678910106","2.6","","","","","","","","","",""
"2110290","Diamond Sales","Ganesh Patel","7878711144","7877991111","ganesh@diamondsales.in","Ahmedabad","Building 43, Manek Chowk, Ahmedabad, Gujarat","363610","CTINRD8811902","2020","B2CH","food","1","12345678910107","4.2","","","","","","","","","",""
"2110291","Gold Enterprise","Anjali Shah","9727788835","9537676857","anjali.patel@goldenter.com","Ahmedabad","Shop No. 96, Kalupur Fruit Market, Ahmedabad Gujarat","382255","CTINRD7280013","2008","B2CG","oil","0","12345678910108","1.3","","","","","","","","","",""
"2110292","Lotus Traders","Anjali Patel","9377712026","9824765771","anjali.shah@lotus.in","Ahmedabad","87/C, 7 Floor, Mithakali,  Ahmedabad Gujarat","387810","CTINRD7280235","2010","B2CG","hpc","1","12345678910109","5","","","","","","","","","",""
"2110293","Evergreen Store","Mihit Garg","9913654249","9378727141","mihit.garg@evergreenstore.in","Gandhinagar","87/D, 4 Floor, Sector 32, Gandhinagar, Gujarat","387810","CTINRD7280945","1998","B2CH","food","1","12345678910110","4.5","","","","","","","","","",""
"2110294","Rose Traders","Abhijit Sharma","7575801677","7077091171","abhijitsharma@rosetraders.in","Gandhinagar","Shop 55, Sector 39, Gandhinagar, Gujarat","380006","CTINRD7282482","1990","B2CG","oil","1","12345678910111","3.7","","","","","","","","","",""
